Time;mean waiting time;total number of callers actually waiting
112;1.528301886792453;1
113;1.5272727272727273;0
114;1.5178571428571428;1
115;1.5087719298245614;0
116;1.6833333333333333;1
117;1.6833333333333333;0
118;1.6833333333333333;1
119;1.6721311475409837;1
120;1.6774193548387097;1
121;1.6307692307692307;1
122;1.6307692307692307;1
123;1.6307692307692307;1
124;1.6307692307692307;0
125;1.621212121212121;1
126;1.5970149253731343;1
127;1.5970149253731343;0
128;1.5970149253731343;1
129;1.5970149253731343;0
130;1.5970149253731343;2
131;1.5970149253731343;0
132;1.8840579710144927;1
133;1.9;0
134;1.9;2
135;1.9;2
136;1.9;1
137;1.8732394366197183;1
138;1.8356164383561644;0
139;1.8356164383561644;1
140;1.8356164383561644;0
141;1.8243243243243243;0
142;1.8243243243243243;0
143;1.8243243243243243;1
144;1.8133333333333332;0
145;1.8133333333333332;1
146;1.8133333333333332;0
147;1.8026315789473684;0
148;1.8026315789473684;0
149;1.7820512820512822;1
150;1.7820512820512822;0
151;1.7820512820512822;0
152;1.7721518987341771;0
153;1.7195121951219512;1
154;1.6987951807228916;0
155;1.6987951807228916;1
156;1.6987951807228916;1
157;1.6987951807228916;1
158;1.6823529411764706;1
159;1.6823529411764706;1
160;1.6823529411764706;0
